,,,,  PLATINUM KAIZO - ROARK SPLIT,,,,,,,,,,,,
,,,,AI Flag Key:,,,,,,,,,,,,
,,,,,Basic,Eval Att,Expert,Status,Risky,Damage Prio,Baton P ass,Tag AI,Check HP,Weather,Harrassment,Left Side AI
,,,,,,,,,,,,,,,,
,,,,Route 202,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Youngster Tristan,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 5 Zigzagoon ♂,,Lv 5 Sentret ♂,,Lv 5 Pidgey ♂,,,,,,,,Pokémon
,,,,Hasty,Gluttony,Docile,Adaptability,Bashful,Tangled Feet,,,,,,,Nature/Abillity
,AI Flags:,,,Silk Scarf,,Silk Scarf,,Sharp Beak,,,,,,,,Item
,,,,Quick Attack,,Quick Attack,,Mud Slap,,,,,,,,Moves
,,,,Sand Attack,,Sand Attack,,Gust,,,,,,,,
,,,,,,,,Quick Attack,,,,,,,,
,,,,,,,,Sand Attack,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lass Natalie,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 6 Sunkern ♀,,Lv 6 Starly ♀,,Lv 6 Poochyena ♀,,,,,,,,Pokémon
,,,,Brave,Solar Power,Hardy,Keen Eye,Naive,Quick Feet,,,,,,,Nature/Abillity
,AI Flags:,,,Oran Berry,,Oran Berry,,Oran Berry,,,,,,,,Item
,,,,Toxic,,Quick Attack,,Mud Slap,,,,,,,,Moves
,,,,Leech Seed,,Roost,,Quick Attack,,,,,,,,
,,,,Protect,,Peck,,Sleep Talk,,,,,,,,
,,,,Mega Drain,,Sleep Talk,,Bite,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Bug Catcher Logan,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 6 Weedle ♂,,Lv 6 Caterpie ♂,,Lv 7 Wurmple ♂,,Lv 7 Kricketot ♂,,,,,,Pokémon
,,,,Bashful,Shield Dust,Serious,Tinted Lens,Rash,Shield Dust,Rash,Shed Skin,,,,,Nature/Abillity
,AI Flags:,,,(None),,(None),,(None),,(None),,,,,,Item
,,,,Bug Bite,,Bug Bite,,Bug Bite,,Bug Bite,,,,,,Moves
,,,,Poison Sting,,Tackle,,Poison Sting,,Mud Slap,,,,,,
,,,,String Shot,,String Shot,,Tackle,,Snore,,,,,,
,,,,,,,,String Shot,,Bide,,,,,,
,,,,,,,,,,,,,,,,
,,,,Jubilife City,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Clown Moe (Right),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 8 Makuhita ♂,,Lv 10 Happiny ♀,,Lv 9 Togepi ♂,,,,,,,,Pokémon
,,,,Relaxed,Guts,Bashful,Natural Cure,Naughty,Serene Grace,,,,,,,Nature/Abillity
,AI Flags:,,,Sitrus Berry,,BrightPowder,,Salac Berry,,,,,,,,Item
,,,,Fake Out,,Curse,,Softboiled,,,,,,,,Moves
,,,,Metronome,,Softboiled,,Metronome,,,,,,,,
,,,,Sleep Talk,,Metronome,,Sleep Talk,,,,,,,,
,,,,,,Sleep Talk,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Clown Mickey (Middle),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 8 Pichu ♂,,Lv 8 Smoochum ♀,,Lv 8 Igglybuff ♀,,,,,,,,Pokémon
,,,,Calm,Static,Naughty,Snow Cloak,Lonely,Cute Charm,,,,,,,Nature/Abillity
,AI Flags:,,,Berry Juice,,Berry Juice,,Berry Juice,,,,,,,,Item
,,,,Metronome,,Lovely Kiss,,Sing,,,,,,,,Moves
,,,,Thunder Wave,,Hail,,Metronome,,,,,,,,
,,,,,,Metronome,,,,,,,,,,
,,,,,,Attract,,,,,,,,,,
,,,, ,,,,,,,,,,,,
,,,,Clown Ronald (Left),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 8 Mime Jr. ♀,,Lv 8 Snubbull ♀,,Lv 8 Cleffa ♀,,,,,,,,Pokémon
,,,,Gentle,Filter,Bashful,Intimidate,Careful,Magic Guard,,,,,,,Nature/Abillity
,AI Flags:,,,Light Clay,,Razor Claw,,Oran Berry,,,,,,,,Item
,,,,Fake Out,,Metronome,,Metronome,,,,,,,,Moves
,,,,Reflect,,Lovely Kiss,,Yawn,,,,,,,,
,,,,Light Screen,,,,,,,,,,,,
,,,,Metronome,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Trainer School,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,School Kid Harrison,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 1 Vulpix,,,,,,,,,,,,Pokémon
,,,,Lonely,Flame Body,,,,,,,,,,,Nature/Abillity
,AI Flags:,,,(None),,,,,,,,,,,,Item
,,,,Will-O-Wisp,,,,,,,,,,,,Moves
,,,,Toxic,,,,,,,,,,,,
,,,,Hypnosis,,,,,,,,,,,,
,,,,Thunder Wave,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,School KidfChristine,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 5 Sandshrew,,,,,,,,,,,,Pokémon
,,,,Naughty,Rough Skin,,,,,,,,,,,Nature/Abillity
,AI Flags:,,,(None),,,,,,,,,,,,Item
,,,,Super Fang,,,,,,,,,,,,Moves
,,,,False Swipe,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Route 204,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lass Samantha,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Lv 7 Shellos -West ♀,,Lv 7 Vulpix ♀,,Lv 7 Budew ♀,,,,,,,,Pokémon
,,,,Lonely,Dry Skin,Bashful,Flame Body,Mild,Natural Cure,,,,,,,Nature/Abillity
,AI Flags:,,,Rindo Berry,,Passho Berry,,Occa Berry,,,,,,,,Item
